City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
643,Semnan,IR,35.5729,53.3971,82.24,24,0,4.61,clear sky
644,Mitsamiouli,KM,-11.3847,43.2844,80.89,65,20,11.5,few clouds
645,Mtwango,TZ,-9.0167,34.8,62.76,45,9,10.67,clear sky
646,Corralillo,CU,22.9819,-80.5856,78.71,86,25,5.86,scattered clouds
647,Srivardhan,IN,18.0333,73.0167,78.58,94,100,16.53,overcast clouds
648,Saint-Marc,HT,19.1082,-72.6938,79.32,74,60,2.51,broken clouds
649,Morristown,US,36.214,-83.2949,76.3,74,20,0.0,few clouds
650,Iralaya,HN,15.0,-83.2333,79.92,88,100,11.3,overcast clouds
651,Dabakala,CI,8.3667,-4.4333,75.0,83,66,7.29,broken clouds
652,Humberto De Campos,BR,-2.5983,-43.4611,72.16,94,70,4.63,broken clouds
653,Karaidel,RU,55.8337,56.9069,62.51,50,100,10.45,overcast clouds
654,Tasgaon,IN,17.0333,74.6,74.23,89,100,17.9,overcast clouds
655,Storsteinnes,NO,69.2408,19.2344,74.37,44,35,8.88,scattered clouds
656,Matagami,CA,49.7502,-77.6328,53.71,87,100,4.61,overcast clouds
657,Prieska,ZA,-29.6641,22.7474,64.67,37,96,13.65,overcast clouds
658,Azul,AR,-36.777,-59.8585,35.35,54,0,2.98,clear sky
659,Chapleau,CA,47.8405,-83.4034,57.87,99,100,3.8,moderate rain
660,Duku,NG,11.2361,4.9073,80.6,64,94,8.88,overcast clouds
661,Mabaruma,GY,8.2,-59.7833,71.78,99,63,1.81,broken clouds
662,Iisalmi,FI,63.5592,27.1907,74.75,41,20,10.07,few clouds
663,Tabuk,PH,17.4189,121.4443,86.31,71,99,3.22,overcast clouds
664,Mehran,IR,33.1222,46.1646,108.39,12,0,10.4,clear sky
665,Chimore,BO,-16.9833,-65.1333,70.12,71,100,1.54,overcast clouds
666,Sayyan,YE,15.1718,44.3244,75.2,19,19,10.02,few clouds
667,Urucara,BR,-2.5364,-57.76,72.37,95,39,1.54,scattered clouds
668,Duminichi,RU,53.9345,35.1099,78.31,68,96,4.21,light rain
669,Veraval,IN,20.9,70.3667,81.7,87,100,14.63,overcast clouds
670,Barra Do Garcas,BR,-15.89,-52.2567,58.91,49,0,2.44,clear sky
671,Dawlatabad,AF,36.4141,64.9053,88.7,17,0,10.47,clear sky
672,Mana,GF,5.6592,-53.7767,74.79,90,99,6.08,overcast clouds
673,Saint-Georges,GD,12.0564,-61.7485,78.48,83,20,6.91,few clouds
674,Atyrau,KZ,47.1167,51.8833,73.42,49,40,8.95,scattered clouds
675,Tshikapa,CD,-6.4167,20.8,83.95,23,33,5.1,scattered clouds
676,Goure,NE,13.9835,10.2704,83.01,44,11,13.0,few clouds
677,Wukari,NG,7.85,9.7833,77.61,77,76,5.55,broken clouds
678,Elizabeth City,US,36.2946,-76.2511,77.02,94,89,4.9,overcast clouds
679,Krasnovka,RU,48.8177,40.0923,83.03,36,0,7.4,clear sky
680,Birjand,IR,32.8663,59.2211,90.07,12,96,11.5,overcast clouds
681,Wattegama,LK,6.7989,81.4808,94.8,40,91,2.73,overcast clouds
682,Tazovskiy,RU,67.4667,78.7,56.26,50,25,8.46,scattered clouds
683,Jumla,NP,29.2747,82.1838,81.46,58,15,7.87,few clouds
684,Beauceville,CA,46.2179,-70.7787,51.51,93,97,1.14,overcast clouds
685,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,73,20,19.57,few clouds
686,Likasi,CD,-10.9814,26.7333,66.85,47,7,8.88,clear sky
687,Villarrica,PY,-25.75,-56.4333,65.55,67,98,4.85,overcast clouds
